Titel,Start tijd,Leeftijd,Afbeelding
"The Kingmaker, Imelda Marcos",15:50,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33214_121712_ps_sd-high.jpg
Harry Potter and the Deathly Hallows: Part 2 (OV),13:15,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/HP7_2_poshighres.jpg
Midnight in Paris,14:40,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posters/midnightinparis2.jpg
Tenet,10:15,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32762_127740_ps_sd-high.jpg
"The Kingmaker, Imelda Marcos",15:50,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33214_121712_ps_sd-high.jpg
Tenet,10:30,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32762_127740_ps_sd-high.jpg
Tenet,10:20,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32762_127740_ps_sd-high.jpg
Alles Is Zoals Het Zou Moeten Zijn,14:05,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32717_126137_ps_sd-high.jpg
Tenet,18:00,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32762_127740_ps_sd-high.jpg
Tenet,10:15,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32762_127740_ps_sd-high.jpg
Tenet,10:45,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32762_127740_ps_sd-high.jpg
Trolls Wereldtour,10:45,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32725_127504_ps_sd-high.jpg
Alles Is Zoals Het Zou Moeten Zijn,12:00,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32717_126137_ps_sd-high.jpg
Alles Is Zoals Het Zou Moeten Zijn,19:00,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32717_126137_ps_sd-high.jpg
Harry Potter and the Deathly Hallows: Part 1 (OV),10:15,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/HP7_highres.png
